compute_processes,cpu_percent,full_sample_ns,gpu_clock_mhz,gpu_memory_bytes,gpu_memory_util_percent,gpu_power_w,gpu_temp_c,gpu_util_percent,major_faults,minor_faults,monotonic_ns,pids,process_swap_bytes,pss_bytes,read_bytes,rss_bytes,swap_in_bytes,swap_out_bytes,swap_used_bytes,system_anon_bytes,system_available_bytes,system_cached_bytes,system_cpu_percent,system_mlocked_bytes,system_sreclaimable_bytes,system_total_bytes,system_used_bytes,time_s,uss_bytes,vmhwm_bytes,vms_bytes,write_bytes
"[{""pid"": 2622421, ""bytes"": 14367588352}]",643.0,2150304005237994,2700,14918483968,12,484.246,69,60,1399,16200971,2150304235271650,"[2622421, 2627614]",0,18136903680,51432161280,18563186688,16965836800,32445517824,434962432,17127915520,176507531264,6913380352,20.6,28299264,2388213760,200083849216,23576317952,5.578130954,18110644224,55925157888,176844824576,168697856
"[{""pid"": 2622421, ""bytes"": 14770241536}]",734.6999999999999,2150304005237994,2700,15321137152,12,484.246,69,60,1401,16286449,2150304335423239,"[2622421, 2627614]",0,18136903680,51740778496,18910781440,16965836800,32445517824,434962432,17476218880,176176766976,6914138112,22.9,28299264,2388267008,200083849216,23907082240,5.678282543,18110644224,55925157888,176844824576,171028480
"[{""pid"": 2622421, ""bytes"": 15038676992}]",775.6,2150304005237994,2700,15589572608,12,484.246,69,60,1403,16371920,2150304435542177,"[2622421, 2627614]",0,18136903680,52047052800,19259064320,16965836800,32445517824,434962432,17823723520,175808880640,6920167424,25.7,28299264,2388312064,200083849216,24274968576,5.778401481,18110644224,55925157888,176844824576,173338624
"[{""pid"": 2622421, ""bytes"": 15407775744}]",813.1,2150304005237994,2700,15960768512,12,484.246,69,60,1405,16449940,2150304535658981,"[2622421, 2627614]",0,18136903680,52316811264,19565907968,16965836800,32445517824,434962432,18156584960,175499288576,6918029312,26.9,28299264,2388381696,200083849216,24584560640,5.878518285,18110644224,55925157888,176844824576,175661056
"[{""pid"": 2622421, ""bytes"": 15709765632}]",755.5,2150304005237994,2715,16262758400,14,478.196,71,75,1407,16537864,2150304635775565,"[2622421, 2627614]",0,18136903680,52597829632,19935137792,16965836800,32445517824,434962432,18498015232,175148482560,6927409152,24.1,28299264,2388455424,200083849216,24935366656,5.978634869,18110644224,55925157888,176844824576,178020352
"[{""pid"": 2622421, ""bytes"": 16078864384}]",731.4,2150304005237994,2715,16631857152,14,478.196,71,75,1409,16623395,2150304735981306,"[2622421, 2627614]",0,18136903680,52895854592,20283047936,16965836800,32445517824,434962432,18847174656,174786473984,6928510976,23.4,28299264,2388504576,200083849216,25297375232,6.07884061,18110644224,55925157888,176844824576,180510720
"[{""pid"": 2622421, ""bytes"": 16347299840}]",625.8,2150304005237994,2715,16902389760,14,478.196,71,75,1411,16690827,2150304836098160,"[2622421, 2627614]",0,18136903680,53198049280,20556390400,16965836800,32445517824,434962432,19122438144,174487740416,6926499840,20.3,28299264,2388586496,200083849216,25596108800,6.178957464,18110644224,55925157888,176844824576,182624256
"[{""pid"": 2622421, ""bytes"": 16649289728}]",759.1,2150304005237994,2715,17204379648,14,478.196,71,75,1413,16776273,2150304936255761,"[2622421, 2627614]",0,18136903680,53503688704,20904894464,16965836800,32445517824,434962432,19470315520,174137851904,6934659072,24.1,28299264,2388635648,200083849216,25945997312,6.279115065,18110644224,55925157888,176844824576,184766464
"[{""pid"": 2622421, ""bytes"": 17119051776}]",852.6,2150305036396731,2707,17674141696,14,477.642,71,76,1416,16911097,2150305036396731,"[2622421, 2627614, 2627702]",0,21281079296,53775278080,21352390656,16965836800,32445517824,434962432,20018511872,173337616384,6933528576,20.4,28299264,2388742144,200083849216,26746232832,6.379256035,21254819840,55925157888,177550094336,187215872
"[{""pid"": 2622421, ""bytes"": 17119051776}]",427.5,2150305036396731,2707,17674141696,14,477.642,71,76,1416,16916891,2150305197220601,"[2622421, 2627614]",0,21281079296,54008659968,21476933632,16965836800,32445517824,434962432,20043042816,173327659008,6941380608,33.3,28299264,2388746240,200083849216,26756190208,6.540079905,21254819840,55925157888,176844824576,189202432
"[{""pid"": 2622421, ""bytes"": 17353932800}]",705.8,2150305036396731,2707,17911119872,14,477.642,71,76,1418,16984341,2150305297345110,"[2622421, 2627614]",0,21281079296,54258995200,21751541760,16965836800,32445517824,434962432,20317483008,173100867584,6936969216,22.2,28299264,2388824064,200083849216,26982981632,6.640204414,21254819840,55925157888,176845873152,191397888
"[{""pid"": 2622421, ""bytes"": 17756585984}]",817.8000000000001,2150305036396731,2707,18313773056,14,477.642,71,76,1420,17077094,2150305397454811,"[2622421, 2627614]",0,21281079296,54532497408,22130278400,16965836800,32445517824,434962432,20694216704,172744097792,6944989184,25.9,28299264,2388885504,200083849216,27339751424,6.740314115,21254819840,55925157888,176845873152,193949696
"[{""pid"": 2622421, ""bytes"": 17991467008}]",631.1,2150305036396731,2707,18548654080,14,477.642,71,76,1422,17144524,2150305497569751,"[2622421, 2627614]",0,21281079296,54833770496,22404743168,16965836800,32445517824,434962432,20969017344,172482064384,6941638656,20.2,28299264,2388934656,200083849216,27601784832,6.840429055,21254819840,55925157888,176845873152,196063232
"[{""pid"": 2622421, ""bytes"": 18360565760}]",697.9,2150305036396731,2707,18919849984,14,477.642,71,76,1424,17229962,2150305597713866,"[2622421, 2627614]",0,21281079296,55113801728,22752661504,16965836800,32445517824,434962432,21317337088,172150652928,6944751616,22.4,28299264,2388975616,200083849216,27933196288,6.94057317,21254819840,55925157888,176845873152,198176768
"[{""pid"": 2622421, ""bytes"": 18696110080}]",675.1999999999999,2150305036396731,2752,19255394304,14,466.366,72,70,1426,17315427,2150305697898939,"[2622421, 2627614]",0,21281079296,55392600064,23099863040,16965836800,32445517824,434962432,21665009664,171786113024,6951821312,22.6,28299264,2389049344,200083849216,28297736192,7.040758243,21254819840,55925157888,176845873152,200413184
"[{""pid"": 2622421, ""bytes"": 18998099968}]",740.0,2150305036396731,2752,19557384192,14,466.366,72,70,1427,17388677,2150305798005323,"[2622421, 2627614]",0,21281079296,55712514048,23399297024,16965836800,32445517824,434962432,21963603968,171488645120,6947315712,25.1,28299264,2389094400,200083849216,28595204096,7.140864627,21254819840,55925157888,176845873152,202739712
"[{""pid"": 2622421, ""bytes"": 19266535424}]",888.7,2150305036396731,2752,19827916800,14,466.366,72,70,1430,17481460,2150305898143658,"[2622421, 2627614]",0,21281079296,56022585344,23776714752,16965836800,32445517824,434962432,22340669440,171175006208,6955294720,28.1,28299264,2389164032,200083849216,28908843008,7.241002962,21254819840,55925157888,176845873152,205414400
